2	255	60	63	19	1109	426	137	121	341	111	206	663	705	51	159	181	4	220	304	505	122	395	169	0	16	301	273	726	88	21	207	478	124
453	889	310	67	731	335	438	1112	471	1054	770	506	318	536	908	457	911	581	612	811	1106	764	487	26	824	456	750	538	218	191	77	1033	293	466
47	626	762	542	904	592	765	601	655	1092	1055	135	1074	178	284	1013	1010	1041	1006	696	950	1000	25	703	112	687	78	783	36	609	539	692	407	562
251	223	850	138	905	782	302	888	683	828	1043	827	604	488	1087	791	990	799	1012	1	242	924	927	861	272	411	496	483	894	104	620	744	9	500
334	502	738	408	189	454	859	906	812	7	723	1042	1064	977	308	798	193	499	788	653	532	639	614	999	56	160	164	524	1068	589	103	65	317	372
120	365	494	526	863	465	215	669	1067	704	820	522	518	637	968	18	573	978	269	1056	102	1005	980	647	109	237	694	90	421	553	484	197	62	482
957	646	650	671	936	921	470	71	640	131	393	629	753	217	875	1051	476	574	544	745	435	600	1108	282	150	531	555	774	93	486	667	167	514	50
853	557	146	750	152	28	588	451	139	641	136	715	795	575	664	446	787	134	196	1101	166	833	91	567	1025	918	211	258	266	1097	339	271	758	366
622	1019	485	128	551	1003	385	288	248	945	403	244	695	353	200	68	117	142	627	598	66	688	495	552	777	460	54	324	8	798	509	238	662	369
422	20	831	530	367	795	549	933	587	161	670	665	225	883	985	558	577	962	1009	543	860	578	803	608	1105	396	53	22	636	720	33	247	582	306
576	208	807	252	887	995	610	784	991	129	754	681	785	773	12	786	52	226	45	1063	410	730	37	792	763	583	490	138	140	229	697	517	192	294
249	370	590	322	184	84	909	149	942	277	55	979	923	97	870	427	611	1103	752	113	910	414	586	802	373	433	928	458	105	10	1023	716	691	163
747	123	809	118	82	279	323	384	568	224	468	489	746	349	1088	338	561	132	3	402	624	943	72	83	736	377	183	717	1069	661	363	983	651	270
431	375	834	967	1084	275	845	1049	199	613	935	1015	307	479	327	173	98	1091	22	419	44	685	39	643	233	357	593	947	533	141	156	329	702	389
1048	378	729	626	11	130	477	352	1029	74	245	1035	778	70	153	234	343	712	645	155	722	360	814	305	774	835	878	1080	100	59	975	550	946	797
989	591	886	523	444	41	356	110	397	617	605	318	706	374	757	796	346	452	679	492	1032	419	429	992	194	92	851	509	516	644	1059	177	856	86
35	847	648	6	383	390	895	755	368	701	362	938	154	956	666	718	239	147	179	982	1007	350	842	808	99	253	555	493	882	970	5	331	548	317
187	1070	498	920	728	749	949	819	31	443	891	789	939	1075	79	449	222	927	263	235	203	596	869	545	854	204	94	1016	198	406	507	623	428	876
871	559	742	771	347	684	1104	361	89	725	57	1077	997	151	315	675	332	289	546	1046	1062	107	351	328	435	1061	151	371	631	921	308	1020	721	95
699	1040	877	930	267	480	184	81	133	101	162	463	364	432	680	767	337	312	326	879	182	75	299	794	359	865	437	205	29	515	566	1099	1008	618
344	534	966	595	423	292	801	1083	441	769	472	766	678	168	221	969	171	400	276	186	756	896	954	597	188	1076	656	817	1096	855	454	919	1039	158
790	497	735	442	560	981	286	85	43	461	321	579	768	17	73	804	320	944	641	748	628	867	810	388	1111	890	216	907	929	313	554	259	565	632
392	24	354	202	733	283	520	125	915	1095	689	219	1052	1066	358	236	401	214	1081	96	727	1089	172	686	818	455	448	144	274	741	519	464	450	418
988	874	925	903	243	937	541	467	212	285	657	529	325	210	300	922	821	1004	48	176	525	287	430	926	157	1085	115	884	170	615	761	625	316	606
291	262	1060	174	572	960	710	42	481	265	672	61	1093	469	1113	1014	806	1053	281	899	213	108	298	412	503	87	941	440	881	145	363	1037	616	760
80	1017	69	337	297	355	1102	416	246	885	501	848	682	508	439	143	264	185	652	240	474	603	434	621	379	636	278	295	425	547	633	424	132	32
76	825	232	642	955	734	1073	1026	473	342	1086	535	340	617	709	38	1110	815	1001	250	261	1022	126	1090	280	1030	1011	106	972	759	445	1085	805	893
739	607	635	776	713	330	436	58	1107	1002	256	1044	230	190	380	677	504	864	119	336	973	348	931	959	649	638	900	585	1079	480	314	654	838	829
386	563	971	394	1072	775	780	993	15	724	913	800	698	34	376	510	387	934	540	537	527	80	27	849	391	976	846	961	409	116	447	594	570	841
14	898	737	985	676	803	195	743	1094	1034	951	839	826	398	148	1021	23	630	303	571	487	13	897	444	708	413	1050	513	382	844	836	95	257	779
114	511	793	459	902	862	290	916	674	64	668	399	837	381	228	690	948	700	1024	46	260	491	1082	1071	619	822	994	241	475	40	660	987	772	987
231	858	781	659	732	214	420	180	1028	711	268	556	254	843	1031	752	1045	296	165	569	707	816	901	1059	963	892	599	528	932	175	658	512	562	201
940	964	49	415	311	974	866	857	998	830	1058	832	634	714	462	275	564	958	914	880	1065	917	984	127	996	521	751	1047	693	840	740	952	1027	813
30	872	405	953	1057	1018	319	209	873	912	333	580	1038	584	719	1036	852	823	868	602	965	227	345	673	1098	1078	1100	417	1114	986	309	404	637	748
